id,comment,graphics,matchmaking,store & microtransactions,technical_issue,mechanics,developer_support,event,community,hero_design,difficulty,timestamp,version,normalized,svm,phobert,qwen
11,"Khung rank 6, team mik thì chs như cái đách. Chs kiểu đ j mà t đi sp mà gây sát thương gần như cao nhất team. Xem lại cái sắp xếp trận đi, thua mấy chục trận liên tiếp càng ngày càng chán",0,2,0,0,0,2,0,2,0,0,2025-03-01 15:21:02,1.57.1.2,"khung rank 6, team mình thì chơi như tệ hại. chơi kiểu gì mà tôi đi sp mà gây sát thương gần như cao nhất team. xem lại cái sắp xếp trận đi, thua mấy chục trận liên tiếp càng ngày càng chán",khung rank <NUM> team mình thì chơi như tệ_hại chơi kiểu gì mà tôi đi sp mà gây sát_thương gần như cao nhất team xem_lại cái sắp_xếp trận đi thua mấy chục trận liên_tiếp càng ngày_càng chán,"khung rank 6 , team mình thì chơi như tệ_hại . chơi kiểu gì mà tôi đi sp mà gây sát_thương gần như cao nhất team . xem_lại cái sắp_xếp trận đi , thua mấy chục trận liên_tiếp càng_ngày_càng chán","khung rank 6, team mình thì chơi như tệ hại. chơi kiểu gì mà tôi đi sp mà gây sát thương gần như cao nhất team. xem lại cái sắp xếp trận đi, thua mấy chục trận liên tiếp càng ngày càng chán"
12,Game như cccccc,0,0,0,0,0,0,0,0,0,0,2025-03-13 22:08:41,1.57.1.2,game tệ hại,game tệ_hại,game tệ_hại,game tệ hại
13,Geam cha hay gì mình tải dõ lâu mà không chơi được,0,0,0,2,0,0,0,0,0,0,2025-03-04 19:05:56,1.57.1.2,game không hay gì mình tải đã lâu mà không chơi được,game không_hay gì mình tải đã lâu mà không_chơi được,game không hay gì mình tải đã lâu mà không chơi được,game không hay gì mình tải đã lâu mà không chơi được
14,Game hay nhưng có 1 cái cộng đồng rác nhất từng thấy,0,0,0,0,0,0,0,2,0,0,2025-03-18 13:21:54,1.57.1.2,game hay nhưng có 1 cái cộng đồng tệ hại nhất từng thấy,game hay nhưng có <NUM> cái cộng_đồng tệ_hại nhất từng thấy,game hay nhưng có 1 cái cộng_đồng tệ_hại nhất từng thấy,game hay nhưng có 1 cái cộng đồng tệ hại nhất từng thấy
15,Game như c ghép trận như óc chó,0,2,0,0,0,0,0,2,0,0,2025-03-03 09:00:37,1.57.1.2,game tệ hại ghép trận tệ hại,game tệ_hại ghép trận tệ_hại,game tệ_hại ghép trận tệ_hại,game tệ hại ghép trận tệ hại
16,đang chs mà văng game hoài yêu cầu chỉnh sửa lại đừng chỉnh sửa j nữa để yênnn như cũ điiii,0,0,0,2,0,2,0,0,0,0,2025-03-26 12:53:47,1.57.1.8,đang chơi mà văng game hoài yêu cầu chỉnh sửa lại đừng chỉnh sửa gì nữa để yên như cũ đi,đang chơi mà văng game hoài yêu_cầu chỉnh_sửa lại đừng chỉnh_sửa gì nữa để yên như cũ đi,đang chơi mà văng game hoài yêu_cầu chỉnh_sửa lại đừng chỉnh_sửa gì nữa để yên như cũ đi,đang chơi mà văng game hoài yêu cầu chỉnh sửa lại đừng chỉnh sửa gì nữa để yên như cũ đi
17,gặp toàn trẻ trâu,0,0,0,0,0,0,0,2,0,0,2025-03-14 14:06:36,1.57.1.2,gặp toàn trẻ trâu,gặp toàn trẻ trâu,gặp toàn trẻ trâu,gặp toàn trẻ trâu
18,chs toàn gặp phá game,0,0,0,0,0,0,0,2,0,0,2025-03-23 19:47:59,1.57.1.8,chơi toàn gặp phá game,chơi toàn gặp phá game,chơi toàn gặp phá game,chơi toàn gặp phá game
19,hay như cc,0,0,0,0,0,0,0,0,0,0,2025-03-16 17:40:11,1.57.1.2,tệ hại,tệ_hại,tệ_hại,tệ hại
20,"game rẻ rách ra tướng mới thì st cao + skin vài ngày lại bị hạ hút lên hút xuống cuối cùng cho bò đi ăn thợ săn 😅😅😅 nực cười Garena trước sau cũng lụi tàn như , chiến dịch huyền thoại, ff thì ối rồi ôi có tiền nạp là khỏe 🤣🤣 game phễu",0,0,2,0,2,2,0,0,2,0,2025-03-26 00:15:10,1.57.1.8,"game tệ hại ra tướng mới thì st cao skin vài ngày lại bị hạ hút lên hút xuống cuối cùng cho bò đi ăn thợ săn nực cười garena trước sau cũng lụi tàn như , chiến dịch huyền thoại, ff thì ối rồi ôi có tiền nạp là khỏe game tệ hại",game tệ_hại ra tướng mới thì st cao skin vài ngày lại bị hạ hút lên hút xuống cuối_cùng cho bò đi ăn thợ_săn nực_cười garena trước_sau cũng lụi tàn như chiến_dịch huyền_thoại ff thì ối rồi ôi có tiền nạp là khỏe game tệ_hại,"game tệ_hại ra tướng mới thì st cao_skin vài ngày lại bị hạ_hút lên hút xuống cuối_cùng cho bò đi ăn thợ_săn nực cười garena trước_sau cũng lụi tàn_như , chiến_dịch huyền_thoại , ff thì ối rồi ôi có tiền_nạp là khỏe game tệ_hại","game tệ hại ra tướng mới thì st cao skin vài ngày lại bị hạ hút lên hút xuống cuối cùng cho bò đi ăn thợ săn nực cười garena trước sau cũng lụi tàn như , chiến dịch huyền thoại, ff thì ối rồi ôi có tiền nạp là khỏe game tệ hại"
21,đã con chem,0,0,0,0,0,0,0,0,0,0,2025-03-17 19:33:21,1.57.1.2,đã con chém,đã con chém,đã con chém,đã con chém
22,ghép trận chs như đàu buoif,0,2,0,0,0,0,0,0,0,0,2025-03-17 04:07:09,1.57.1.2,ghép trận chơi như tệ hại,ghép trận chơi như tệ_hại,ghép trận chơi như tệ_hại,ghép trận chơi như tệ hại
23,Game rất hay🥰,0,0,0,0,0,0,0,0,0,0,2025-03-08 20:04:48,1.54.1.7,game rất hay,game rất hay,game rất hay,game rất hay
24,game như ó,0,0,0,0,0,0,0,0,0,0,2025-03-30 08:29:49,1.57.1.8,game tệ hại,game tệ_hại,game tệ_hại,game tệ hại
25,hack map tràn lan luôn kh hiểu gà làm ăn kiểu gì,0,0,0,2,0,2,0,0,0,0,2025-03-21 12:46:35,1.57.1.2,hack map tràn lan luôn không hiểu nhà phát hành làm ăn kiểu gì,hack map tràn_lan luôn không_hiểu nhà phát_hành làm_ăn kiểu gì,hack map tràn_lan luôn không hiểu nhà phát_hành làm_ăn kiểu gì,hack map tràn lan luôn không hiểu nhà phát hành làm ăn kiểu gì
26,Mun con mới mà phải lên bậc C mới được chơi,0,0,0,0,2,0,0,0,0,0,2025-03-13 08:45:53,1.57.1.2,muốn con mới mà phải lên bậc c mới được chơi,muốn con mới mà phải lên bậc c mới được chơi,muốn con mới mà phải lên bậc c mới được chơi,muốn con mới mà phải lên bậc c mới được chơi
27,vào game tài nguyên cứ tự tải mãi trong khi tôi không cần cứ tải hoài rất chi là phiền nhé mong là nhà sản xuất sẽ giải quyết giúp😃,0,0,0,2,0,1,0,0,0,0,2025-03-09 11:07:59,1.57.1.2,vào game tài nguyên cứ tự tải mãi trong khi tôi không cần cứ tải hoài rất chi là phiền nhé mong là nhà phát hành sẽ giải quyết giúp,vào game tài_nguyên cứ tự tải mãi trong khi tôi không_cần cứ tải hoài rất chi là phiền nhé mong là nhà phát_hành sẽ giải_quyết giúp,vào game tài_nguyên cứ tự_tải mãi trong khi tôi không cần cứ tải hoài rất chi là phiền nhé mong là nhà phát_hành sẽ giải_quyết giúp,vào game tài nguyên cứ tự tải mãi trong khi tôi không cần cứ tải hoài rất chi là phiền nhé mong là nhà phát hành sẽ giải quyết giúp
28,Ccc như lolll,0,0,0,0,0,0,0,0,0,0,2025-03-09 11:03:59,1.57.1.2,tệ hại vô cùng,tệ_hại vô_cùng,tệ_hại vô_cùng,tệ hại vô cùng
29,tự nhiên sài 4g ko chơi được trong khi t chơi game khác thì được?,0,0,0,2,0,0,0,0,0,0,2025-03-20 11:47:37,1.57.1.2,tự nhiên sài 4g không chơi được trong khi t chơi game khác thì được?,tự_nhiên sài 4g không_chơi được trong khi t chơi game khác thì được,tự_nhiên sài 4 g không chơi được trong khi t chơi game khác thì được ?,tự nhiên sài 4g không chơi được trong khi t chơi game khác thì được?
30,game l,0,0,0,0,0,0,0,0,0,0,2025-03-27 22:30:14,1.57.1.2,game tệ hại,game tệ_hại,game tệ_hại,game tệ hại
31,game ko công bằng gặp toàn j ko mà mình còn bị mất sao game ll,0,2,0,0,2,0,0,0,0,0,2025-03-26 19:05:37,1.57.1.8,game không công bằng gặp toàn gì không mà mình còn bị mất sao game tệ hại,game không_công_bằng gặp toàn gì không_mà mình còn bị mất sao game tệ_hại,game không công_bằng gặp toàn gì không mà mình còn bị mất sao game tệ_hại,game không công bằng gặp toàn gì không mà mình còn bị mất sao game tệ hại
32,game hay nhưng giờ toàn hack,0,2,0,0,0,0,0,2,0,0,2025-03-23 17:58:15,1.57.1.8,game hay nhưng giờ toàn hack,game hay nhưng giờ toàn hack,game hay nhưng giờ toàn hack,game hay nhưng giờ toàn hack
33,quá làg game cực kì lề mề khi xong trân 30 giây sau thì mới có nút tiếp tục,0,0,0,2,0,0,0,0,0,0,2025-03-15 20:33:12,1.57.1.2,quá lag game cực kì lề mề khi xong trận 30 giây sau thì mới có nút tiếp tục,quá lag game cực_kì lề_mề khi xong trận <NUM> giây sau thì mới có nút tiếp_tục,quá lag_game cực_kì lề_mề khi xong trận 30 giây sau thì mới có nút tiếp_tục,quá lag game cực kì lề mề khi xong trận 30 giây sau thì mới có nút tiếp tục
34,Rep toàn gặp súc vật phá game,0,0,0,0,0,0,0,2,0,0,2025-03-10 12:49:38,1.57.1.2,rep toàn gặp tệ hại phá game,rep toàn gặp tệ_hại phá game,rep toàn gặp tệ_hại phá game,rep toàn gặp tệ hại phá game
35,ghép nhu cc,0,2,0,0,0,0,0,0,0,0,2025-03-28 03:38:37,1.57.1.8,ghép trận tệ hại,ghép trận tệ_hại,ghép trận tệ_hại,ghép trận tệ hại
36,"từ khi game cập nhật phiên bản mới đến giờ rất nhiều người chơi bị văng game bị trừ uy tín oan uổng, cho dù máy mạnh cũng bị văng là sao vậy bắt phải giảm đồ họa xuống thấp nhất.Chơi game để trải nghiệm hình ảnh, skin mà như vậy thì chơi chi cho mất thời gian. Mong game hãy xem xét vấn đề này lại",2,0,0,2,0,2,0,0,0,0,2025-03-31 01:13:17,1.57.1.8,"từ khi game cập nhật phiên bản mới đến giờ rất nhiều người chơi bị văng game bị trừ uy tín oan uổng, cho dù máy mạnh cũng bị văng là sao vậy bắt phải giảm đồ họa xuống thấp nhất.chơi game để trải nghiệm hình ảnh, skin mà như vậy thì chơi chi cho mất thời gian. mong game hãy xem xét vấn đề này lại",từ khi game cập_nhật phiên_bản mới đến giờ rất nhiều người chơi bị văng game bị trừ uy_tín oan_uổng cho_dù máy mạnh cũng bị văng là sao vậy bắt phải giảm đồ_họa xuống thấp nhất chơi game để trải nghiệm hình_ảnh skin mà như_vậy thì chơi chi cho mất thời_gian mong game hãy xem_xét vấn_đề này lại,"từ khi game cập_nhật phiên_bản mới đến giờ rất nhiều người chơi bị văng game bị trừ uy_tín oan_uổng , cho_dù máy mạnh cũng bị văng là sao vậy bắt phải giảm đồ họa xuống thấp nhất . chơi game để trải_nghiệm hình_ảnh , skin mà như_vậy thì chơi chi cho mất thời_gian . mong game hãy xem_xét vấn_đề này lại","từ khi game cập nhật phiên bản mới đến giờ rất nhiều người chơi bị văng game bị trừ uy tín oan uổng, cho dù máy mạnh cũng bị văng là sao vậy bắt phải giảm đồ họa xuống thấp nhất.chơi game để trải nghiệm hình ảnh, skin mà như vậy thì chơi chi cho mất thời gian. mong game hãy xem xét vấn đề này lại"
37,cập nhật xong ko vô chơi đc mà cx chả thảo tác đc gì luôn trong khi máy vẫn bth,0,0,0,2,0,0,0,0,0,0,2025-03-21 19:59:11,1.57.1.8,cập nhật xong không vô chơi được mà cũng chả thao tác được gì luôn trong khi máy vẫn bình thường,cập_nhật xong không_vô chơi được mà cũng chả_thao_tác được gì luôn trong khi máy vẫn bình_thường,cập_nhật xong không vô_chơi được mà cũng chả thao_tác được gì luôn trong khi máy vẫn bình_thường,cập nhật xong không vô chơi được mà cũng chả thao tác được gì luôn trong khi máy vẫn bình thường
38,game như skibidi toi let chết có mấy mạng bảo phá game trừ uy tín như cơm bữa,0,0,0,0,2,0,0,0,0,0,2025-03-19 09:53:35,1.57.1.2,game như tệ hại chết có mấy mạng bảo phá game trừ uy tín như cơm bữa,game như tệ_hại chết có mấy mạng bảo phá game trừ uy_tín như cơm_bữa,game như tệ_hại chết có mấy mạng bảo_phá game_trừ uy_tín như cơm_bữa,game như tệ hại chết có mấy mạng bảo phá game trừ uy tín như cơm bữa
39,cập nhật xong đang chơi cứ văng ra miết rất khó chịu,0,0,0,2,0,0,0,0,0,0,2025-03-23 21:53:10,1.57.1.8,cập nhật xong đang chơi cứ văng ra miết rất khó chịu,cập_nhật xong đang chơi cứ văng ra miết rất khó_chịu,cập_nhật xong đang chơi cứ văng ra miết rất khó_chịu,cập nhật xong đang chơi cứ văng ra miết rất khó chịu
40,"ycau game những ng bt chữ thì hãy chơi , và sử lí buff bẩn và hack map , chơi game càng stress thêm .",0,2,0,0,0,2,0,2,0,0,2025-03-24 11:09:01,1.57.1.8,"yêu cầu game những người biết chữ thì hãy chơi , và xử lý buff bẩn và hack map , chơi game càng stress thêm .",yêu_cầu game những người biết chữ thì hãy chơi và xử_lý buff bẩn và hack map chơi game càng stress thêm,"yêu_cầu game những người biết chữ thì hãy chơi , và xử_lý buff bẩn và hack_map , chơi game càng stress thêm .","yêu cầu game những người biết chữ thì hãy chơi , và xử lý buff bẩn và hack map , chơi game càng stress thêm ."
41,hack không tố cáo được,0,0,0,0,0,2,0,2,0,0,2025-03-22 15:20:00,1.57.1.2,hack không tố cáo được,hack không_tố_cáo được,hack không tố_cáo được,hack không tố cáo được
42,Tệ,0,0,0,0,0,0,0,0,0,0,2025-03-05 23:39:16,1.57.1.2,tệ,tệ,tệ,tệ
43,gamer dở ko nên tải tài nguyên thì tải 1 ề dung lượng máy tui mới mua nó chiếm gần hết bộ nhớ tướng thì mất cân bằng flo nó mạnh muốn thấy mẹ giảm sn 18 lần vẫn ko ăn thua thì xoá mẹ nó đi để mất cân bằng cân bằng tướng ko có tí gọi là cân bằng tel vs val giảm thì giảm dame cơ động vs t.gian k.chế tăng thời gian hồi chiêu vẫn như ko toàn trẻ trâu có mấy câu rất bình thường mà chat ko đc leo rank thì khó có mấy thk phá gamer với tranh lane thì tố cáo ko ăn thua còn tự tải tài nguyên khi ko cần,0,2,0,2,2,2,0,2,2,0,2025-03-16 20:09:02,1.55.1.2,game dở không nên tải tài nguyên thì tải một ề dung lượng máy tôi mới mua nó chiếm gần hết bộ nhớ tướng thì mất cân bằng flo nó mạnh vô cùng giảm sức mạnh 18 lần vẫn không ăn thua thì xóa tệ hại đi để mất cân bằng cân bằng tướng không có tí gọi là cân bằng tel vs val giảm thì giảm dame cơ động vs thời gian khống chế tăng thời gian hồi chiêu vẫn như không toàn trẻ trâu có mấy câu rất bình thường mà chat không được leo rank thì khó có mấy thằng phá game với tranh lane thì tố cáo không ăn thua còn tự tải tài nguyên khi không cần,game dở không_nên tải tài_nguyên thì tải một ề dung_lượng máy tôi mới mua nó chiếm gần hết bộ_nhớ tướng thì mất cân_bằng flo nó mạnh vô_cùng giảm sức_mạnh <NUM> lần vẫn không_ăn_thua thì xóa_tệ_hại đi để mất cân_bằng cân_bằng tướng không_có tí gọi là cân_bằng tel vs val giảm thì giảm dame cơ_động vs thời_gian khống_chế tăng thời_gian hồi chiêu vẫn như không_toàn trẻ trâu có mấy câu rất bình_thường mà chat không_được leo rank thì khó có mấy thằng phá game với tranh lane thì tố_cáo không_ăn_thua còn tự tải tài_nguyên khi không_cần,game dở không nên tải tài_nguyên thì tải một ề dung_lượng máy tôi mới mua nó chiếm gần hết bộ nhớ_tướng thì mất cân_bằng flo nó mạnh vô_cùng giảm sức_mạnh 18 lần vẫn không ăn_thua thì xóa tệ_hại đi để mất cân_bằng cân_bằng tướng không có tí gọi_là cân_bằng tel vs val giảm thì giảm dame cơ_động vs thời_gian khống_chế tăng thời_gian hồi chiêu vẫn như không toàn trẻ trâu có mấy câu rất bình_thường mà chat không được leo_rank thì khó có mấy thằng phá game với tranh_lane thì tố_cáo không ăn_thua còn tự_tải tài_nguyên khi không cần,game dở không nên tải tài nguyên thì tải một ề dung lượng máy tôi mới mua nó chiếm gần hết bộ nhớ tướng thì mất cân bằng flo nó mạnh vô cùng giảm sức mạnh 18 lần vẫn không ăn thua thì xóa tệ hại đi để mất cân bằng cân bằng tướng không có tí gọi là cân bằng tel vs val giảm thì giảm dame cơ động vs thời gian khống chế tăng thời gian hồi chiêu vẫn như không toàn trẻ trâu có mấy câu rất bình thường mà chat không được leo rank thì khó có mấy thằng phá game với tranh lane thì tố cáo không ăn thua còn tự tải tài nguyên khi không cần
44,"tốn dung lượng như chó , chơi thì lag suốt ngày bảo nạp 5g? , nạp xong vô chơi thì văng game đã vậy còn gặp bọn trẻ trâu nhắn chửi tùm lum mà kh bị cấm chat?",0,0,1,2,0,2,0,2,0,0,2025-03-23 11:49:28,1.55.1.2,"tốn dung lượng tệ hại, chơi thì lag suốt ngày bảo nạp 5g?, nạp xong vô chơi thì văng game đã vậy còn gặp bọn trẻ trâu nhắn chửi tùm lum mà không bị cấm chat?",tốn dung_lượng tệ_hại chơi thì lag suốt ngày bảo nạp 5g nạp xong vô chơi thì văng game đã vậy còn gặp bọn trẻ trâu nhắn chửi tùm_lum mà không_bị cấm chat,"tốn dung_lượng tệ_hại , chơi thì lag suốt ngày bảo_nạp 5 g ? , nạp xong vô_chơi thì văng_game đã vậy còn gặp bọn trẻ trâu nhắn_chửi tùm_lum mà không bị cấm chat ?","tốn dung lượng tệ hại, chơi thì lag suốt ngày bảo nạp 5g?, nạp xong vô chơi thì văng game đã vậy còn gặp bọn trẻ trâu nhắn chửi tùm lum mà không bị cấm chat?"
45,game lag điên,0,0,0,2,0,0,0,0,0,0,2025-03-20 10:48:01,1.57.1.2,game lag vô cùng,game lag vô_cùng,game lag vô_cùng,game lag vô cùng
46,Đồng đội chán :(,0,2,0,0,0,0,0,2,0,0,2025-03-08 20:25:33,1.50.1.6,đồng đội chán,đồng_đội chán,đồng_đội chán,đồng đội chán
47,r h tới cái gì mà cấm t chơi tới 2034 lun v geam ơi???,0,0,0,0,0,2,0,0,0,0,2025-03-11 22:33:38,1.57.1.2,rồi hiện tới cái gì mà cấm tôi chơi tới 2034 luôn vậy game ơi???,rồi hiện tới cái gì mà cấm tôi chơi tới <NUM> luôn vậy game ơi,rồi hiện tới cái gì mà cấm tôi chơi tới 2034 luôn vậy game ơi ? ? ?,rồi hiện tới cái gì mà cấm tôi chơi tới 2034 luôn vậy game ơi???
48,"Chơi gặp toàn trẻ trâu phá game, tố cáo không được, game làm ăn kiểu gì ấy🤡",0,0,0,0,0,2,0,2,0,0,2025-03-09 20:25:11,1.57.1.2,"chơi gặp toàn trẻ trâu phá game, tố cáo không được, game làm ăn kiểu gì ấy",chơi gặp toàn trẻ trâu phá game tố_cáo không_được game làm_ăn kiểu gì ấy,"chơi gặp toàn trẻ trâu phá_game , tố_cáo không được , game làm_ăn kiểu gì ấy","chơi gặp toàn trẻ trâu phá game, tố cáo không được, game làm ăn kiểu gì ấy"
49,"Rác, sập đi,2x đổ lên toàn map",0,0,0,2,0,0,0,0,0,0,2025-03-10 22:58:31,1.57.1.2,"tệ hại, sập đi, 2x đổ lên toàn map",tệ_hại sập đi 2x đổ lên toàn map,"tệ_hại , sập đi , 2 x đổ lên toàn map","tệ hại, sập đi, 2x đổ lên toàn map"
50,10 game hết 9 game map sáng thì sứng đáng game thủ sang Mobile Legends bang bang nhá,0,0,0,2,0,0,0,0,0,0,2025-03-05 20:35:51,1.57.1.2,10 game hết 9 game map sáng thì xứng đáng game thủ sang mobile legends bang bang nhá,<NUM> game hết <NUM> game map sáng thì xứng_đáng game thủ sang mobile legends bang bang nhá,10 game hết 9 game map sáng thì xứng_đáng game_thủ sang mobile legends_bang bang nhá,10 game hết 9 game map sáng thì xứng đáng game thủ sang mobile legends bang bang nhá
51,như pia,0,0,0,0,0,0,0,0,0,0,2025-03-22 07:22:15,1.57.1.8,như phía,như phía,như phía,như phía
52,bị trừ uy tín vô lý,0,0,0,0,2,0,0,0,0,0,2025-03-21 20:45:48,1.57.1.8,bị trừ uy tín vô lý,bị trừ uy_tín vô_lý,bị trừ uy_tín vô_lý,bị trừ uy tín vô lý
53,Dmmmm game cho toan tk phá game vo choi xong éo tố cáo đc,0,0,0,0,0,2,0,2,0,0,2025-03-13 13:00:41,1.57.1.2,tệ hại game tệ hại toàn tài khoản phá game vô chơi xong không tố cáo được,tệ_hại game tệ_hại toàn tài_khoản phá game vô chơi xong không_tố_cáo được,tệ_hại game tệ_hại toàn tài_khoản phá game vô_chơi xong không tố_cáo được,tệ hại game tệ hại toàn tài khoản phá game vô chơi xong không tố cáo được
54,hack map tràn lan,0,0,0,2,0,0,0,0,0,0,2025-03-05 19:09:20,1.57.1.2,hack map tràn lan,hack map tràn_lan,hack map tràn_lan,hack map tràn lan
55,lỡ thoát game có 1 do đt z mà nó cx tính afk đã v vô lại game còn vô lâu ko bt thông cảm thì thôi đi,0,0,0,2,2,0,0,0,0,0,2025-03-22 08:16:41,1.57.1.8,lỡ thoát game có một do điện thoại vậy mà nó cũng tính afk đã vậy vô lại game còn vô lâu không biết thông cảm thì thôi đi,lỡ thoát game có một do điện_thoại_vậy_mà nó cũng tính afk đã vậy vô_lại game còn vô lâu không_biết thông_cảm thì thôi đi,lỡ thoát game có một do điện_thoại vậy_mà nó cũng tính afk đã vậy vô lại game còn vô_lâu không biết thông_cảm thì thôi đi,lỡ thoát game có một do điện thoại vậy mà nó cũng tính afk đã vậy vô lại game còn vô lâu không biết thông cảm thì thôi đi
56,Như cc lúc nào load sk sau người khác,0,0,0,2,0,0,0,0,0,0,2025-03-04 11:02:42,1.51.1.2,tệ hại lúc nào load sự kiện sau người khác,tệ_hại lúc_nào load sự_kiện sau người khác,tệ_hại lúc_nào load sự_kiện sau người khác,tệ hại lúc nào load sự kiện sau người khác
57,game rác,0,0,0,0,0,0,0,0,0,0,2025-03-27 00:32:53,1.57.1.8,game tệ hại,game tệ_hại,game tệ_hại,game tệ hại
58,game cho suốt ngày thoát,0,0,0,2,0,0,0,0,0,0,2025-03-24 17:18:46,1.57.1.8,game chơi suốt ngày thoát,game chơi suốt ngày thoát,game chơi suốt ngày thoát,game chơi suốt ngày thoát
59,liên quân như đồn,0,0,0,0,0,0,0,0,0,0,2025-03-30 11:28:48,1.57.1.8,liên quân như tệ hại,liên_quân như tệ_hại,liên_quân như tệ_hại,liên quân như tệ hại
60,Như CC,0,0,0,0,0,0,0,0,0,0,2025-03-30 12:33:13,1.50.1.6,tệ hại,tệ_hại,tệ_hại,tệ hại
61,tự nhiên ko vô đc,0,0,0,2,0,0,0,0,0,0,2025-03-26 16:17:56,1.57.1.8,tự nhiên không vô được,tự_nhiên không_vô được,tự_nhiên không vô được,tự nhiên không vô được
62,game lỗi rất nhiều,0,0,0,2,0,0,0,0,0,0,2025-03-19 23:06:40,1.57.1.2,game lỗi rất nhiều,game lỗi rất nhiều,game lỗi rất nhiều,game lỗi rất nhiều
