review,graphics,matchmaking,store & microtransactions,technical_issue,mechanics,developer_support,event,community,hero_design,difficulty
game hệ thống tố cáo được cải thiện tính năng ghép đội tốt hơn nhưng afk còn nhiều và tôi chơi thấy lag vô cùng,0,1,0,2,0,1,0,2,0,0
"nhiều phá game, feed mạnh, buff bẩn, hack map, afk vẫn chưa được xử lý triệt để",0,0,2,2,0,2,0,2,0,0
cập nhật lắm thế mà toàn tệ hại,0,0,0,2,0,2,0,2,0,0
"game lúc vào đứng mặc dù mạng mạnh, sau khi cập nhật xong là bị, khiến trải nghiệm tệ",0,0,0,2,0,0,0,0,0,0
"hok 3 nước đi tệ hại, lag vô cùng, ghép trận thì toàn gặp hack với cày thuê, nph thì chỉ biết hút máu, tướng thì nerf liên tục không chơi được.",0,0,0,0,0,0,0,0,0,0
anh em tốt nhất bỏ game,0,0,0,0,0,0,0,0,0,0
gì đâu không trong game nhắn tin không được gì hết vậy ad chắn xóa nghỉ chơi luôn qua,0,0,0,2,0,2,0,0,0,0
đang chơi bình thường tại sao bị ban tài khoản mấy ngày vậy không hiểu không hack map đi thế giới gặp hack map thì ban luôn tài khoản mấy ngày mới mở lại vào game lại tiếp tục ban là sao đây tệ hại?,0,0,0,2,0,2,0,2,0,0
"game thì càng ngày càng nặng, mỗi đợt cập nhập là một đống buff. đăng nhập game lâu, tài nguyên càng ngày càng nhiều, những máy yếu thì không chơi nổi mặc dù đã ở đồ họa thấp, có quá nhiều lỗi mà game mắc phải. hiểu tại sao game còn 3.5 sao rồi đó",1,0,0,2,0,0,0,0,0,0
sao vào game không được lỗi đường truyền mmmm,0,0,0,2,0,0,0,0,0,0
sáng tới chiều toàn gặp team lỗi như cố tình,0,2,0,0,0,0,0,2,0,0
game ghép trận không hiểu nổi luôn ??? tệ hại,0,2,0,0,0,0,0,0,0,0
"game tệ hại mạng, dạo này mạng cứ 200ping mãi. tự làm game tự chơi luôn đi",0,0,0,2,0,0,0,0,0,0
"rank tinh anh gần cuối mùa như tệ hại vô cùng, gặp toàn cái gì không vừa chạm chân lên ct cái xuống mẹ ta4, đã thế còn tranh đường bất chấp nữa, tôi cần luật sư",0,2,0,0,0,0,0,2,0,2
vẫn ổn khi là chuỗi win,0,0,0,0,0,0,0,0,0,0
game chơi khó chịu ghép toàn trúng đồng đội bot cứ thắng thua thắng thua không có hứng muốn chơi còn gặp các thành phần chửi nhau này kia,0,2,0,0,0,0,0,2,0,0
cập nhật liên tục mất hết mô hình 3d chả vui tí nào phải tải đi tải về làm đơ máy,2,0,0,2,0,0,0,0,0,0
lấy bên không thì giữ nguyên đi sửa sửa phiền tệ hại ra,0,0,0,0,2,0,0,0,0,0
game tệ hại,0,0,0,0,0,0,0,0,0,0
tệ hết sức toàn bug map,0,0,0,2,0,0,0,0,0,0
"10 trận hết 10 trận ghép trận toàn gặp phải thành phần phá game ,rank chênh lệch,đồng đội không đoàn kết, dùng từ tiêu cực chửi nhau.game bây giờ rất tệ",0,2,0,0,0,0,0,2,0,0
vô thì không cho mới vô thì nó kêu cũ xong bị kick ra luôn,0,0,0,2,0,0,0,0,0,0
mới tải chơi được 1 trận đầu cày tiếp đang vào trận là bị đen cái màn hình mà cái điện thoại xài mượt vô 10 trận là 10 trận không vô được đề nghị sửa cái lỗi để tui còn leo rank nữa,0,0,0,2,0,2,0,0,0,0
"game càng ngày càng tệ hại, phá game tố cáo không trừ, hack tràn lan, ghép trận thì không đều.",0,2,0,2,0,2,0,2,0,0
game tối ưu như tệ hại lag vô cùng,0,0,0,2,0,0,0,0,0,0
lỗi thì fix rồi nhưng ghép trận hơi đểu,0,2,0,1,0,1,0,0,0,0
game càng về sau càng bị lag giật mạng,0,0,0,2,0,0,0,0,0,0
tôi không đăng nhập được vào game,0,0,0,2,0,0,0,0,0,0
mạng tệ hại,0,0,0,2,0,0,0,0,0,0
"game hay mà chấm vi phạm như tệ hại, đứa afk nguyên trận thì báo là không vi phạm, đứa mạng lag đứng có xíu 8 uytin. lỗi game không vào được trận cũng trừ uytin",0,0,0,2,2,0,0,2,0,0
mợ game đang bình thường tự nhiên đứng đơ lại mặc dù máy tôi mượt nhưng sao không bấm được mợ game cố tình lag,0,0,0,2,0,0,0,0,0,0
"toàn trẻ trâu, nên làm lại cơ chế ghép đồng đội",0,2,0,0,0,0,0,2,0,0
game tệ hại toàn gặp phá game,0,0,0,0,0,0,0,2,0,0
ghép trận thua cả tốc chiến,0,2,0,0,0,0,0,0,0,0
lỗi không toàn lỗi cập nhật lỗi bất định 210 ???????,0,0,0,2,0,0,0,0,0,0
game lỗi sự kiện rất nhiều,0,0,0,2,0,0,2,0,0,0
hệ thống ghép trận quá lệch,0,2,0,0,0,0,0,0,0,0
"npc game hay, nhà phát hành ưu ái người chơi, tặng nhiều đồ, người chơi văn minh, xứng đáng game quốc dân.",0,0,1,0,0,1,0,1,0,0
lag không vô trận được,0,0,0,2,0,0,0,0,0,0
vui và nhiều tướng chơi hay có điều gặp toàn team tệ hại và cập nhật tải tài nguyên quá nhiều,0,2,0,2,2,0,0,2,1,0
tôi nghĩ mình bị trừ oan,0,0,0,2,0,0,0,0,0,0
được một ngày là màn hình tím,0,0,0,2,0,0,0,0,0,0
"bớt sửa linh tinh đi, để yên sinestrea dùm tôi cái",0,0,0,0,0,2,0,0,2,0
"game tệ hại , để cái to tổ bố dưới nút bấm làm gì không biết . không biết để nhỏ lại hoặc ở đâu đó khác hả",2,0,0,0,0,0,0,0,0,0
"gặp toàn súc vật phá game, lên đồ troll tố cáo không được",0,0,0,0,2,2,0,2,0,0
sự kiện như tệ hại chán,0,0,0,0,0,0,2,0,0,0
game hay nhưng giờ toàn hack,0,2,0,0,0,0,0,2,0,0
lỗi báo cáo nata 1 9 bảo không vi phạm đi mid thành đi sp hè gặp trẻ trâu à mau sửa lại đi,0,0,0,2,0,1,0,2,0,0
game dạo này hơi nặng,0,0,0,2,0,0,0,0,0,0
quá nhiều toxic còn lại thì tuyệt vời,0,0,0,0,0,0,0,2,0,0
sửa lỗi đi ạ chơi game bị văng 4 lần bị trừ uy tín miết luôn không muốn người ta chơi,0,0,0,2,0,2,0,0,0,0
"gặp toàn hack map, gặp toàn đồng đội tệ hại,",0,2,0,0,0,0,0,2,0,0
lỗi rất nhiều vào trận thì vào rất chậm phải thoát ra vào lại còn lâu bị tố cáo bọn nó phá game 0 7 0 0 4 4 còn không tố cáo được t đánh 6 4 0 thì còn không được mvp đứa 4 8 4 mvp là thế nào đấy gà ơi,0,2,0,2,2,0,0,2,0,0
game ngày càng đi xuống chỉnh chiêu của tướng vớ va vớ vẩn làm tăng độ khó của tướng gây khó chịu cho người chơi cũ,0,0,0,0,2,0,0,0,2,0
"tệ ghép trận toàn gặp phá game, afk nữa gây mất hứng chơi game",0,2,0,0,0,0,0,2,0,0
tạm thôi hơi lag,0,0,0,2,0,0,0,0,0,0
giờ vào toàn nhờ ai chơi không à. không có cơ hội thắng. game phế,0,2,0,0,0,0,0,0,0,0
trừ uy tín như tài khoản phụ,0,0,0,0,2,0,0,0,0,0
bắt mvp mù,0,2,0,0,0,0,0,2,0,0
tệ hại,0,0,0,0,0,0,0,0,0,0
"cần có biện pháp bù trừ rank khi thua do đồng đội afk, cố tình thua. chứ để thua do đồng đội làm thua mà vẫn trừ sao thì không được.",0,2,0,0,1,0,0,2,0,0
"đăng nhập facebook mãi không được, có lẽ bỏ qua chơi game khác thôi. nhiều lỗi vặt quá",0,0,0,2,0,0,0,0,0,0
người chơi game afk từ đầu trận phá game đến phút thứ 16 17 những thành viên còn lại vẫn cố gắng đánh nhưng không được bồi thường là sao ạ game càng ngày càng tồi tệ,0,2,0,0,0,2,0,2,0,0
trời ơi ghép rank sàm vô cùng 1 bên 5 đại cao thủ còn 1 bên thì 4 cao thủ 1 đại cao thủ ?? ý nhà phát hành muốn sao ????,0,2,0,0,0,2,0,0,0,0
game toàn những thành phần khó chịu,0,0,0,0,0,0,0,2,0,0
game này nhẹ hơn free fire hơi nhiều chơi rất oke cho 5 sao,0,0,0,1,0,0,0,0,0,0
"mong nhà phát hành sớm fix lỗi cam gần trên samsung z fold, game rất hay mà muốn chơi bắt buộc phải mod cam xa. nên tôi muốn nhà phát hành fix lỗi cam gần giúp tôi",0,0,0,2,0,1,0,0,0,0
afk chưa tới 10 giây trừ 2 uy tín,0,0,0,0,2,0,0,0,0,0
toàn phá game game tệ hại không nên chơi,0,0,0,0,0,0,0,2,0,0
không free 710 qh,0,0,2,0,0,0,0,0,0,0
"không biết ghép đội gì hết team thì gà mà ghép đội toàn rank cao thủ, rớt sao liên tục",0,2,0,0,0,0,0,2,0,0
ghép phải toàn tệ hại,0,2,0,0,0,0,0,2,0,0
tự nhiên bị trừ uy tín mới đi được có 1 phút bị trừ 4 uy tín còn thằng ngộ không afk 2 phút trong tế đàn ra tố cáo chả bị gì làm ăn chán,0,0,0,0,2,2,0,2,0,0
tôi chỉ mong game sửa ghép với mấy thằng không cùng rank và ngu nữa chứ ghép toàn bọn phá team nó thì hack đánh không nổi,0,2,0,2,0,2,0,2,0,0
tệ hại,0,0,0,0,0,0,0,0,0,0
cập nhật lại đánh như tệ hại. nặng máy lag,0,0,0,2,2,0,0,0,0,0
game xếp đội chênh lệch trình độ rất nhiều,0,2,0,0,0,0,0,0,0,0
chơi game giải trí mà cũng bị phân biệt giàu nghèo,0,0,2,0,0,0,0,0,0,0
lag quá cứ vô là bị đá ra,0,0,0,2,0,0,0,0,0,0
"game tệ hại ghép toàn tài khoản ngu hack map tràn lan không ban buff bẩn cũng không làm gì được đúng phế vật , skin thì bán đắt vô cùng",0,0,2,2,0,2,0,2,0,0
"cấm tôi chơi trong khi tôi không hack hay mod skin gì cả , game càng ngày càng tệ hại còn lỗi load trận nữa mong game nhanh chóng khắc phục lại lỗi này, tôi không làm gì mà vẫn bị cấm chơi trong khi mấy thằng hack khác tôi tố cáo mà không cấm ?? làm ăn kiểu gì vậy?? dạo này chơi toàn văng không máy mạnh hay yếu đều văng chả chơi bời được gì",0,0,0,2,2,2,0,2,0,0
game giật vô cùng,0,0,0,2,0,0,0,0,0,0
"tôi thấy trải nghiệm vẫn chưa ổn còn tình trạng vào game chậm ,giật lag , văng game sau đó tôi muốn nói về cơ chế map 1vs1 tôi nghĩ nên cho nó trở lại như cũ chứ hiện chơi không vui tí nào vào toàn đẩy trụ không xứng đáng với map 1vs1 tôi mong game nhìn nhận và xem xét các đóng góp của tôi và nhiều người chơi khác",0,0,0,2,2,1,0,0,0,0
"game khá tốt,nhưng trải nghiệm rất khó chịu,tướng edras quá tệ hại,không công bằng,đề nghị giảm sức mạnh lại",0,2,0,0,2,0,0,0,2,0
game ổn,0,0,0,0,0,0,0,0,0,0
game tệ hại.,0,0,0,0,0,0,0,0,0,0
tệ hại,0,0,0,0,0,0,0,0,0,0
"liên quân mobile đang đối mặt với những mảng tối làm suy giảm trải nghiệm người chơi. đầu tiên là sự mất cân bằng tướng trầm trọng các tướng mới thường sở hữu sức mạnh lỗi game, biến tướng cũ thành bù nhìn. thứ hai là vấn nạn toxic, bạo lực ngôn từ và phá game afk, troll diễn ra phổ biến khiến môi trường trở nên độc hại. bên cạnh đó, hack map vẫn lộng hành ở các mức rank cao, thách thức hệ thống bảo mật. cuối cùng, thuật toán ghép trận bị nghi ngờ là sắp đặt chuỗi thắng chuỗi thua",0,2,0,2,2,0,0,2,0,0
game quá nặng,0,0,0,2,0,0,0,0,0,0
tình trạng bị cấm chat vô lý rất nhiều lần,0,0,0,0,2,2,0,0,0,0
ghép trận tệ hại,0,2,0,0,0,0,0,0,0,0
cập nhật xong cứ yêu cầu bật vị trí rất phiền không muốn lộ thông tin,0,0,0,2,0,0,0,0,0,0
"game ngáo à mà bug đam bot to thế?? t rank kim cương mà đam mấy con bot to hơn người thường,có lần mới mở đầu thằng kia đánh t 1109 đam thế này???,đùa nhau à game",0,2,0,2,2,0,0,0,0,0
lag thì lag cho hết tệ hại vãn đi. cứ giật giật 1 cũng đáng,0,0,0,2,0,0,0,0,0,0
game toàn cho ghép tệ hại ta 1 mà gặp toàn phá game game tệ hại,0,2,0,0,0,0,0,2,0,0
game như tệ hại vào thì bị văng game vào trận cũng lâu nói chung game như tệ hại,0,2,0,2,0,0,0,0,0,0
